Brand Indicator,VIN,Nav: Model Descripti,New Vehicle Delivery,Reading
Volkswagen,VW_CAR_001,POLO,01.12.2019,14 220
Volkswagen,VW_CAR_002,AMAROK,01.12.2019,15 710
Volkswagen,VW_CAR_003,POLO,01.12.2019,12 040
Audi,AUDI_CAR_001,QUATTRO,01.12.2019,17 045
Audi,AUDI_CAR_002,QUATTRO,01.12.2019,13 342
Audi,AUDI_CAR_003,QUATTRO,01.12.2019,21 242
Audi,AUDI_CAR_004,QUATTRO,01.12.2019,14 242
Audi,AUDI_CAR_005,QUATTRO,01.12.2019,15 242
Audi,AUDI_CAR_006,QUATTRO,01.12.2019,32 500
Audi,AUDI_CAR_007,QUATTRO,01.12.2019,12 112
Audi,AUDI_CAR_008,QUATTRO,01.12.2019,13 211
Audi,AUDI_CAR_009,QUATTRO,01.12.2019,10 012
Audi,AUDI_CAR_010,QUATTRO,01.12.2019,15 003
Audi,AUDI_CAR_011,QUATTRO,03.12.2019,18 001
Audi,AUDI_CAR_012,QUATTRO,03.12.2019,10 212
Audi,AUDI_CAR_013,QUATTRO,12.12.2019,11 210
Audi,AUDI_CAR_014,QUATTRO,12.12.2019,21 210
Audi,AUDI_CAR_015,QUATTRO,12.12.2019,13 242
Audi,AUDI_CAR_016,QUATTRO,12.12.2019,21 244
Audi,AUDI_CAR_017,QUATTRO,12.12.2019,14 242
Audi,AUDI_CAR_018,QUATTRO,12.12.2019,112 120
Audi,AUDI_CAR_019,QUATTRO,12.12.2019,9 002
Audi,AUDI_CAR_020,A3,25.12.2019,21 244
Audi,AUDI_CAR_021,A3,25.12.2019,13 000
Audi,AUDI_CAR_022,A3,02.02.2020,3 200
Audi,AUDI_CAR_023,A3,02.02.2020,11 003
Audi,AUDI_CAR_024,A3,02.02.2020,12 001
Audi,AUDI_CAR_025,A3,02.02.2020,11 210
Audi,AUDI_CAR_026,A3,02.02.2020,14 021
Audi,AUDI_CAR_027,A3,02.02.2020,12 110
Audi,AUDI_CAR_028,A3,18.04.2020,1 500
Audi,AUDI_CAR_029,A3,19.04.2020,12 101
Audi,AUDI_CAR_030,A3,19.05.2020,17 223
Audi,AUDI_CAR_031,A3,19.05.2020,13 200
Audi,AUDI_CAR_032,A3,19.05.2020,17 045
Audi,AUDI_CAR_033,A3,19.05.2020,13 342
Audi,AUDI_CAR_034,A3,20.06.2020,21 242
Audi,AUDI_CAR_035,A3,20.06.2020,14 242
Audi,AUDI_CAR_036,A3,20.06.2020,1 550
Audi,AUDI_CAR_037,A3,20.06.2020,1 120
Audi,AUDI_CAR_038,A3,20.06.2020,10 290
Audi,AUDI_CAR_039,A3,20.06.2020,9 122
Audi,AUDI_CAR_040,A3,20.06.2020,5 210
Audi,AUDI_CAR_041,A3,20.06.2020,8 400
Audi,AUDI_CAR_042,Q5,20.06.2020,6 750
Audi,AUDI_CAR_043,Q5,20.06.2020,3 420
Audi,AUDI_CAR_044,Q5,20.06.2020,2 300
Audi,AUDI_CAR_045,Q5,20.06.2020,1 021
Audi,AUDI_CAR_046,Q5,20.06.2020,1 023
Audi,AUDI_CAR_047,Q5,20.06.2020,1 504
Audi,AUDI_CAR_048,Q5,20.06.2020,1 400
Audi,AUDI_CAR_049,Q5,20.06.2020,5 043
Audi,AUDI_CAR_050,Q5,20.06.2020,2 010
Audi,AUDI_CAR_051,Q5,20.06.2020,3 042
Audi,AUDI_CAR_052,Q5,20.06.2020,4 321
Audi,AUDI_CAR_053,Q5,20.06.2020,4 454
Audi,AUDI_CAR_054,Q5,20.06.2020,4 445
Audi,AUDI_CAR_055,Q5,20.06.2020,6 798
Audi,AUDI_CAR_056,Q5,20.06.2020,1 002
Audi,AUDI_CAR_057,Q5,20.06.2020,12 001
Audi,AUDI_CAR_058,Q5,25.06.2020,8 704
Audi,AUDI_CAR_059,Q5,25.06.2020,1 605
Audi,AUDI_CAR_060,Q5,25.06.2020,5 440
Audi,AUDI_CAR_061,Q5,25.06.2020,1 234
Audi,AUDI_CAR_062,A4,25.06.2020,1 102
Audi,AUDI_CAR_063,A4,25.06.2020,3 210
Audi,AUDI_CAR_064,A4,25.06.2020,2 123
Audi,AUDI_CAR_065,A4,25.06.2020,4 053
Audi,AUDI_CAR_066,A4,25.06.2020,4 430
Audi,AUDI_CAR_067,A4,25.06.2020,1 210
Audi,AUDI_CAR_068,A4,25.06.2020,1 211
Audi,AUDI_CAR_069,A4,25.06.2020,4 053
Audi,AUDI_CAR_070,A4,25.06.2020,4 430
Audi,AUDI_CAR_071,A4,25.06.2020,4 053
Audi,AUDI_CAR_072,A4,25.06.2020,4 430
Audi,AUDI_CAR_073,A4,25.06.2020,13 245
Audi,AUDI_CAR_074,A4,25.06.2020,13 342
Audi,AUDI_CAR_075,A1,25.06.2020,2 242
Audi,AUDI_CAR_076,A1,25.06.2020,1 442
Audi,AUDI_CAR_077,A1,25.06.2020,1 550
Audi,AUDI_CAR_078,A1,25.06.2020,1 120
Audi,AUDI_CAR_079,A1,25.06.2020,10 290
Audi,AUDI_CAR_080,A1,25.06.2020,16 023
Audi,AUDI_CAR_081,A1,25.06.2020,320
Audi,AUDI_CAR_082,A1,25.06.2020,803
